Price,Address,Beds,Baths,Sqft,URL
$550000,1409 Maria Elena Dr Las Vegas NV 89104,5,6,4058,https://www.redfin.com/NV/Las-Vegas/1409-Maria-Elena-Dr-89104/home/29451474
$624900,9338 Wilderness Glen Ave Las Vegas NV 89178,5,3.5,2673,https://www.redfin.com/NV/Las-Vegas/9338-Wilderness-Glen-Ave-89178/home/29056621
$528000,8934 Cypress Fog Ct Las Vegas NV 89178,5,3,2664,https://www.redfin.com/NV/Las-Vegas/8934-Cypress-Fog-Ct-89178/home/177142816
$695000,10118 Cache River Ct Las Vegas NV 89141,5,2.5,3971,https://www.redfin.com/NV/Las-Vegas/10118-Cache-River-Ct-89141/home/166355328
N/A,N/A,N/A,N/A,N/A,N/A
$649995,6373 Varna Ave Las Vegas NV 89110,5,3,3168,https://www.redfin.com/NV/Las-Vegas/6373-Varna-Ave-89110/home/29378162
$819000,28 Living Edens Ct Las Vegas NV 89148,5,4.5,4892,https://www.redfin.com/NV/Las-Vegas/28-Living-Edens-Ct-89148/home/29873809
$335000,48 Prince Ln Las Vegas NV 89110,5,2,1804,https://www.redfin.com/NV/Las-Vegas/48-Prince-Ln-89110/home/29388621
$445000,6113 Elton Ave Las Vegas NV 89107,5,3,1918,https://www.redfin.com/NV/Las-Vegas/6113-Elton-Ave-89107/home/29229057
$477073,2859 Gunnery Forge St Las Vegas NV 89156,5,3.5,2713,https://www.redfin.com/NV/Las-Vegas/2859-Gunnery-Forge-St-89156/home/179957937
$419990,4229 Beth Ave Las Vegas NV 89108,5,3,2205,https://www.redfin.com/NV/Las-Vegas/4229-Beth-Ave-89108/home/29306341
$800000,1020 Eaglewood Dr Las Vegas NV 89144,5,3,3017,https://www.redfin.com/NV/Las-Vegas/1020-Eaglewood-Dr-89144/home/29113367
$949000,1908 Vero Dr Las Vegas NV 89134,5,3.5,3946,https://www.redfin.com/NV/Las-Vegas/1908-Vero-Dr-89134/home/29160458
$569500,11587 Sweet Nokia St Las Vegas NV 89183,5,2.5,2774,https://www.redfin.com/NV/Las-Vegas/11587-Sweet-Nokia-St-89183/home/29043407
$866998,7914 Brianna Cheerful Ave Las Vegas NV 89178,5,3,3380,https://www.redfin.com/NV/Las-Vegas/7914-Brianna-Cheerful-Ave-89178/home/40233053
$584000,8172 Deerfield Ranch Ct Las Vegas NV 89139,5,3,3313,https://www.redfin.com/NV/Las-Vegas/8172-Deerfield-Ranch-Ct-89139/home/30500652
$545000,9159 Cantina Creek Ct Las Vegas NV 89178,5,3,3002,https://www.redfin.com/NV/Las-Vegas/9159-Cantina-Creek-Ct-89178/home/29067275
$999900,7414 Salvadora Pl Las Vegas NV 89113,5,3.5,4412,https://www.redfin.com/NV/Las-Vegas/7414-Salvadora-Pl-89113/home/29287292
N/A,N/A,N/A,N/A,N/A,N/A
$724900,2784 Belcastro St Las Vegas NV 89117,5,3.5,2576,https://www.redfin.com/NV/Las-Vegas/2784-Belcastro-St-89117/home/29537078
$499000,9810 Fox Estate St Las Vegas NV 89141,5,2.5,2290,https://www.redfin.com/NV/Las-Vegas/9810-Fox-Estate-St-89141/home/166357316
$644900,11441 Roncat Ct Las Vegas NV 89141,5,3,3134,https://www.redfin.com/NV/Las-Vegas/11441-Roncat-Ct-89141/home/29002530
$540000,9816 Dryden Ct Las Vegas NV 89148,5,3,2460,https://www.redfin.com/NV/Las-Vegas/9816-Dryden-Ct-89148/home/109634253
$519900,9161 Dutch Oven Ct Las Vegas NV 89178,5,3,2552,https://www.redfin.com/NV/Las-Vegas/9161-Dutch-Oven-Ct-89178/home/29055213
$515000,3398 El Camino Real Las Vegas NV 89121,5,2,2127,https://www.redfin.com/NV/Las-Vegas/3398-El-Camino-Real-89121/home/29422080
